,verb,?,czynnościowy,dowodzenia,emotywny,epistemiczny,liczenia,mówienia,nie_wiedzowy,odkrycia,pamięciowy,percepcyjny,przyczynowy,wnioskowania,wolicjonalny,wolitywny,zdarzeniowy,o1+,o1-,o1o,o2+,o2-,o2o
214,"dowieść, że_",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
219,"dowieść, że_",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
220,"dowodzić, że_",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
221,"dowodzić, że_",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
741,"obawiać się, że_",0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
742,"obawiać się, że_",0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
750,"obawiać się, że_",0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
775,"oceniać, że_",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
778,"ocenić, że_",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1034,"pokazać, że_",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1036,"pokazać, że_",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1041,"pokazać, że_",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1047,"pokazać, że_",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1053,"pokazywać, że_",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1057,"pokazywać, że_",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1256,"przepowiadać, że_",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1257,"przepowiadać, że_",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1283,"przypomnieć komuś, że_",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1284,"przypomnieć komuś, że_",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1286,"przypomnieć komuś, że_",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1288,"przypomnieć komuś, że_",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1381,"rechotać, że_",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1577,"świadczyć, że_",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1578,"świadczyć, że_",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1653,"ubolewać, że_",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1679,"udowadniać, że_",0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1680,"udowadniać, że_",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1682,"udowadniać, że_",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1683,"udowodnić, że_",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1689,"udowodnić, że_",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1690,"udowodnić, że_",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1691,"ukazać, że_",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2187,"wykazać, że_",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2188,"wykazać, że_",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2190,"wykazać, że_",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2191,"wykazywać, że_",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
3,"[e] czuć, że_",0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
4,"[e] czuć, że_",0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
6,"[e] czuć, że_",0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
20,"[p] poczuć, że_",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0
24,"bać się, że_",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
25,"bać się, że_",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
39,"być dumnym, że_",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
40,"być dumnym, że_",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
77,"być zgodnym, że_",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
92,"chwalić się, że_",0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
93,"cieszyć się, że_",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
