verb,verb - main semantic class,verb - second semantic class,verb - third semantic class,verb - tense
[elipsa],mówienia,,,brak
[elipsa],epistemiczny,,,past
[elipsa],mówienia,,,past
"[e] czuć, że_",epistemiczny,percepcyjny,,past
"[e] czuć, że_",epistemiczny,percepcyjny,,present
"[e] czuć, że_",epistemiczny,percepcyjny,,present
"[e] czuć, że_",epistemiczny,percepcyjny,,past
"[e] czuć, że_",epistemiczny,percepcyjny,,present
"[e] czuć, że_",epistemiczny,percepcyjny,,present
"[e] czuć, że_",epistemiczny,percepcyjny,,past
"[e] czuć, że_",epistemiczny,percepcyjny,,present
"[e] czuć, że_",epistemiczny,percepcyjny,,past
"[e] czuć, że_",epistemiczny,percepcyjny,,present
"[e] czuć, że_",epistemiczny,percepcyjny,,present
"[e] czuć, że_",epistemiczny,percepcyjny,,present
"[e] czuć, że_",epistemiczny,percepcyjny,,present
"[e] czuć, że_",epistemiczny,percepcyjny,,present
"[e] czuć, że_",epistemiczny,percepcyjny,,present
"[e] czuć, że_",epistemiczny,percepcyjny,,present
"[e] czuć, że_",epistemiczny,percepcyjny,,past
"[p] poczuć, że_",percepcyjny,epistemiczny,,past
"alarmować, że_",mówienia,,,past
"argumentować, że_",mówienia,,,past
"argumentować, że_",mówienia,,,past
"bać się, że_",emotywny,epistemiczny,,present
"bać się, że_",emotywny,epistemiczny,,past
"bać się, że_",emotywny,epistemiczny,,past
"bać się, że_",emotywny,epistemiczny,,present
"bać się, że_",emotywny,epistemiczny,,present
"bać się, że_",emotywny,epistemiczny,,present
"bać się, że_",emotywny,epistemiczny,,present
"bać się, że_",emotywny,epistemiczny,,present
"bać się, że_",emotywny,epistemiczny,,past
"bać się, że_",emotywny,epistemiczny,,present
"bać się, że_",emotywny,epistemiczny,,present
"brać pod uwagę, że_",epistemiczny,,,brak
"brać pod uwagę, że_",epistemiczny,,,brak
"brać pod uwagę, że_",epistemiczny,,,present
"brać pod uwagę, że_",epistemiczny,,,brak
"być dumnym, że_",emotywny,epistemiczny,,future
"być dumnym, że_",emotywny,epistemiczny,,present
"być pewnym, że_",epistemiczny,,,future
"być pewnym, że_",epistemiczny,,,present
"być pewnym, że_",epistemiczny,,,present
"być pewnym, że_",epistemiczny,,,past
"być pewnym, że_",epistemiczny,,,present
"być pewnym, że_",epistemiczny,,,past
"być pewnym, że_",epistemiczny,,,past
"być pewnym, że_",epistemiczny,,,present
"być pewnym, że_",epistemiczny,,,present
"być pewnym, że_",epistemiczny,,,present
"być pewnym, że_",epistemiczny,,,present
"być pewnym, że_",epistemiczny,,,past
"być pewnym, że_",epistemiczny,,,present
"być pewnym, że_",epistemiczny,,,present
"być pewnym, że_",epistemiczny,,,present
"być przekonanym, że_",epistemiczny,,,present
"być przekonanym, że_",epistemiczny,,,past
"być przekonanym, że_",epistemiczny,,,past
"być przekonanym, że_",epistemiczny,,,present
"być przekonanym, że_",epistemiczny,,,past
"być przekonanym, że_",epistemiczny,,,present
"być przekonanym, że_",epistemiczny,,,past
"być przekonanym, że_",epistemiczny,,,present
